date,station,precip_mm
2024-04-01,GHCND:USC00361207,0.0
2024-04-01,GHCND:USC00361212,0.05
2024-04-01,GHCND:USC00361354,1.5
2024-04-01,GHCND:USC00361377,1.27
2024-04-01,GHCND:USC00361526,0.08
2024-04-01,GHCND:USC00361705,1.5699999999999998
2024-04-01,GHCND:USC00361726,1.09
2024-04-01,GHCND:USC00361737,0.03
2024-04-01,GHCND:USC00361802,0.0
2024-04-01,GHCND:USC00361833,0.0
2024-04-01,GHCND:USC00361838,0.0
2024-04-01,GHCND:USC00361920,0.32999999999999996
2024-04-01,GHCND:USC00362183,1.65
2024-04-01,GHCND:USC00362323,0.27999999999999997
2024-04-01,GHCND:USC00362470,1.1400000000000001
2024-04-01,GHCND:USC00362574,0.86
2024-04-01,GHCND:USC00362721,0.5599999999999999
2024-04-01,GHCND:USC00362942,1.0699999999999998
2024-04-01,GHCND:USC00363028,0.8400000000000001
2024-04-01,GHCND:USC00363130,0.13
2024-04-01,GHCND:USC00363226,0.51
2024-04-01,GHCND:USC00363293,1.6800000000000002
2024-04-01,GHCND:USC00363311,0.27999999999999997
2024-04-01,GHCND:USC00363321,0.03
2024-04-01,GHCND:USC00363343,0.41
2024-04-01,GHCND:USC00363417,0.61
2024-04-01,GHCND:USC00363451,2.2399999999999998
2024-04-01,GHCND:USC00363698,0.0
2024-04-01,GHCND:USC00363928,2.0300000000000002
2024-04-01,GHCND:USC00364214,0.61
2024-04-01,GHCND:USC00364325,0.99
2024-04-01,GHCND:USC00364432,0.08
2024-04-01,GHCND:USC00364571,0.0
2024-04-01,GHCND:USC00364763,2.18
2024-04-01,GHCND:USC00364778,0.27999999999999997
2024-04-01,GHCND:USC00364815,0.0
2024-04-01,GHCND:USC00364833,1.73
2024-04-01,GHCND:USC00364839,1.09
2024-04-01,GHCND:USC00364896,1.5699999999999998
2024-04-01,GHCND:USC00364934,0.0
2024-04-01,GHCND:USC00364976,0.13
2024-04-01,GHCND:USC00364992,0.45999999999999996
2024-04-01,GHCND:USC00365109,0.76
2024-04-01,GHCND:USC00365212,1.22
2024-04-01,GHCND:USC00365335,0.0
2024-04-01,GHCND:USC00365344,0.0
2024-04-01,GHCND:USC00365440,0.0
2024-04-01,GHCND:USC00365790,0.2
2024-04-01,GHCND:USC00365902,0.45999999999999996
2024-04-01,GHCND:USC00365918,0.79
2024-04-01,GHCND:USC00366111,1.3199999999999998
2024-04-01,GHCND:USC00366151,0.08
2024-04-01,GHCND:USC00366194,0.8400000000000001
2024-04-01,GHCND:USC00366238,1.83
2024-04-01,GHCND:USC00366289,2.06
2024-04-01,GHCND:USC00366310,1.9100000000000001
2024-04-01,GHCND:USC00366508,1.9600000000000002
2024-04-01,GHCND:USC00366681,0.0
2024-04-01,GHCND:USC00366921,0.89
2024-04-01,GHCND:USC00366927,1.1400000000000001
2024-04-01,GHCND:USC00366955,0.48
2024-04-01,GHCND:USC00367029,0.0
2024-04-01,GHCND:USC00367073,3.35
2024-04-01,GHCND:USC00367103,0.03
2024-04-01,GHCND:USC00367167,0.45999999999999996
2024-04-01,GHCND:USC00367186,0.0
2024-04-01,GHCND:USC00367229,0.6900000000000001
2024-04-01,GHCND:USC00367313,1.0699999999999998
2024-04-01,GHCND:USC00367409,0.13
2024-04-01,GHCND:USC00367477,0.27999999999999997
2024-04-01,GHCND:USC00367732,0.3
2024-04-01,GHCND:USC00367782,0.58
2024-04-01,GHCND:USC00367863,0.8099999999999999
2024-04-01,GHCND:USC00367931,0.1
2024-04-01,GHCND:USC00367938,0.0
2024-04-01,GHCND:USC00368073,1.35
2024-04-01,GHCND:USC00368184,0.5599999999999999
2024-04-01,GHCND:USC00368244,1.8
2024-04-01,GHCND:USC00368361,0.1
2024-04-01,GHCND:USC00368365,0.0
2024-04-01,GHCND:USC00368379,0.9099999999999999
2024-04-01,GHCND:USC00368400,0.0
2024-04-01,GHCND:USC00368449,1.0699999999999998
2024-04-01,GHCND:USC00368469,0.13
2024-04-01,GHCND:USC00368596,0.2
2024-04-01,GHCND:USC00368668,0.05
2024-04-01,GHCND:USC00368692,0.0
2024-04-01,GHCND:USC00368868,0.03
2024-04-01,GHCND:USC00368873,0.51
2024-04-01,GHCND:USC00368888,0.18
2024-04-01,GHCND:USC00369022,0.76
2024-04-01,GHCND:USC00369042,0.0
2024-04-01,GHCND:USC00369298,0.0
2024-04-01,GHCND:USC00369367,2.4899999999999998
2024-04-01,GHCND:USC00369408,0.0
2024-04-01,GHCND:USC00369714,1.5
2024-04-01,GHCND:USC00369735,0.25
2024-04-01,GHCND:USW00003761,1.92
2024-04-01,GHCND:USW00004726,2.2600000000000002
2024-04-01,GHCND:USW00004751,0.25
2024-04-01,GHCND:USW00004787,0.99
2024-04-01,GHCND:USW00004827,2.7199999999999998
2024-04-01,GHCND:USW00004843,0.6599999999999999
